ssid;bssid;Atual;Cozinha_;Jantar_;Home Theater_;Sala de TV_;Suite Master_;Servico_;
ssid;cc:32:e5:a5:e3:5a;32;0,017097;0,062054;0,035421;0,473216;0,473216;0,473216;
ssid;c0:3d:d9:74:93:a0;0;0;0;0;0;0;0;
ssid;7a:8c:b5:21:99:92;72;0,013346;0,006061;0,007134;0,018158;0,039784;0,002307;
ssid;f2:a7:31:22:4b:62;0;0;0;0;0;0;0;
ssid;7a:8c:b5:21:ad:b2;48;0,175867;0,013222;0,015297;0,033703;0,033703;0,082008;
ssid;fa:8f:ca:6e:63:9e;56;0,036837;0,012213;0,017736;0,017653;0,074217;0,000128;
ssid;a4:22:49:92:ea:54;0;0;0;0;0;0;0;
ssid;60:22:32:f3:b5:82;0;0;0;0;0;0;0;
ssid;dc:a4:ca:ee:5f:5a;0;0;0;0;0;0;0;
ssid;3c:f9:f0:ae:c3:22;0;0;0;0;0;0;0;
ssid;48:2c:d0:8e:3a:e8;68;0,200128;0,551121;0,001153;0,085384;0,095316;0,085384;
ssid;e4:c3:2a:9a:e9:96;0;0;0;0;0;0;0;
ssid;30:de:4b:ed:1d:72;0;0;0;0;0;0;0;
ssid;a4:33:d7:01:65:c8;52;0,043843;0,008123;0,025839;0,534157;0,043843;0,015973;
ssid;e6:fa:c4:4d:1f:b6;0;0;0;0;0;0;0;
ssid;f2:a7:31:42:4b:62;0;0;0;0;0;0;0;
ssid;bc:c3:42:be:51:d0;0;0;0;0;0;0;0;
ssid;d4:6e:0e:b2:0e:9f;34;0,482908;0,007405;0,062836;0,482908;0,008166;0,038056;
ssid;74:3a:ef:5b:cf:3d;0;0;0;0;0;0;0;
ssid;24:fd:0d:e3:dd:eb;64;0,548215;0,008996;0,012347;0,548215;0,548215;0,057902;
ssid;24:fd:0d:e3:dd:e3;56;0,539954;0,026309;0,539954;0,539954;0,011167;0,539954;
ssid;48:2c:d0:8e:3a:ea;68;0,551121;0,008963;0,001153;0,118348;0,106269;0,076378;
ssid;a6:36:c7:9d:2a:10;60;0,544558;0,004136;0,011545;0,054244;0,111785;0,030913;
ssid;a6:36:c7:ff:bf:f6;56;0,539954;0,026309;0,004085;0,539954;0,120502;0,065211;
ssid;90:0a:62:36:14:7f;0;0;0;0;0;0;0;
ssid;a4:33:d7:b7:31:a8;30;0,462341;0,029568;0,006536;0,462341;0,462341;0,212607;
ssid;68:02:b8:f9:bf:42;74;0,554398;0,554398;0,006165;0,040753;0,554398;0,019127;
ssid;52:57:9c:9e:ae:bc;0;0;0;0;0;0;0;
ssid;dc:92:72:71:35:92;0;0;0;0;0;0;0;
ssid;a6:36:c7:c5:26:4d;0;0;0;0;0;0;0;
ssid;90:58:51:45:31:74;0;0;0;0;0;0;0;
ssid;60:e3:27:cf:9d:58;0;0;0;0;0;0;0;
ssid;98:77:e7:7d:01:53;0;0;0;0;0;0;0;
ssid;f8:2d:c0:23:0b:22;0;0;0;0;0;0;0;
ssid;9c:63:5b:88:b8:80;0;0;0;0;0;0;0;
ssid;66:a4:b7:b7:a5:b6;0;0;0;0;0;0;0;
ssid;66:a4:b7:b7:a1:2e;0;0;0;0;0;0;0;
ssid;90:0a:62:52:82:4f;0;0;0;0;0;0;0;
ssid;e8:de:27:ca:ec:08;0;0;0;0;0;0;0;
ssid;3e:f9:f0:1e:c3:22;0;0;0;0;0;0;0;
ssid;50:c7:bf:c9:0d:fa;0;0;0;0;0;0;0;
ssid;20:c9:d0:1c:32:ab;0;0;0;0;0;0;0;
ssid;a6:36:c7:c5:26:5a;0;0;0;0;0;0;0;
ssid;4e:ba:d7:be:bb:7f;0;0;0;0;0;0;0;
ssid;1c:3b:f3:f3:02:27;0;0;0;0;0;0;0;
ssid;08:c7:f5:29:5c:82;0;0;0;0;0;0;0;
ssid;bc:0f:9a:ef:8d:68;0;0;0;0;0;0;0;
ssid;68:9e:29:be:0e:87;0;0;0;0;0;0;0;
ssid;14:eb:b6:c8:8d:72;0;0;0;0;0;0;0;
ssid;50:0f:f5:03:ed:48;0;0;0;0;0;0;0;
ssid;68:d4:0c:d6:82:6f;0;0;0;0;0;0;0;
ssid;f4:54:20:52:c1:9f;0;0;0;0;0;0;0;
ssid;0c:80:63:22:63:1a;0;0;0;0;0;0;0;
ssid;08:7e:64:84:3d:98;0;0;0;0;0;0;0;
ssid;44:3b:32:f4:1c:6c;0;0;0;0;0;0;0;
ssid;a0:3e:1a:2a:db:fa;0;0;0;0;0;0;0;
ssid;6c:ba:b8:ff:6c:51;0;0;0;0;0;0;0;
ssid;84:01:12:eb:cd:5d;0;0;0;0;0;0;0;
ssid;68:ff:7b:84:13:b2;0;0;0;0;0;0;0;
ssid;1a:eb:b6:c8:8d:72;0;0;0;0;0;0;0;
ssid;6a:77:da:12:79:f7;0;0;0;0;0;0;0;
ssid;68:77:da:60:e0:67;0;0;0;0;0;0;0;
